START_ID,END_ID,corresponding_author
6391996,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,TRUE
6307534,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
40950692,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4230536,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
5538503,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
1402012502,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
39168440,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
1777308,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
144893958,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
3088847,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2115297093,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
39497753,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2027458,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4347079,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4373110,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2107517217,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2923325,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
1401984320,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4011830,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
36248090,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
39269675,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
48958834,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2975900,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
144528092,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
5307931,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
32381467,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
31909725,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
144110054,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
6199292,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4324350,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
147069795,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
6533031,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
32145672,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
144359100,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
84717638,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
5409083,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
32326419,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
32750186,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
51357334,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2194791,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
2306305,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
1938854376,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
4376295,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
14215968,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
51396990,0c2d3b28d48426b8b72f7214a7708ba8b4efa9d6,FALSE
